name,avgpoint,avg_price,num_reviews
Bún Chả Nem - Cửa Đông,6.5,25000.0,29
Cháo Sườn Cô Là,7.2,20000.0,49
TukTuk Thai Bistro - Triệu Việt Vương,7.4,300000.0,14
Xôi Nóng Anh Tùng - Mai Hắc Đế,5.5,25000.0,24
Paris Baguette - Hoàng Đạo Thúy,7.5,200000.0,143
Starbucks Coffee - Nhà Thờ,7.6,105000.0,62
"Tuyến Ốc - Khoai, Ốc & Cút Lộn Xào Me",7.7,100000.0,10
Isushi Triệu Việt Vương - Nhà Hàng Buffet Nhật Bản,8.4,135000.0,131
Paris Gâteaux - Bánh Ngọt & Trà Sữa - Hai Bà Trưng,7.3,225000.0,70
Thanh Vân - Bánh Cuốn & Bún Thang,6.4,21500.0,93
Khoai Bao - Khoai Lang Nướng Mật Đà Lạt - Ven Hồ Hạ Đình,6.5,57500.0,53
Cơm Sườn Đào Duy Từ - Giảng Võ,6.8,50000.0,94
Bánh Mì Thịt Xiên 93,7.3,13500.0,24
Bánh Mì Mr Xoay - Hàm Long,6.9,32500.0,151
Miến Lươn Đồng - Thái Hà,6.7,37500.0,85
Cô Quỳnh - Lẩu & Nướng,8.3,90000.0,74
Beard Papa's - Nguyễn Du,7.0,60000.0,12
Mirai - Sushi & Sake,7.7,300000.0,27
Vuvuzela Beer Club - Thái Hà,9.8,325000.0,21
San Tokbokki - Ẩm Thực Hàn Quốc - Phạm Ngọc Thạch,7.0,85000.0,25
Cơm Tấm Ali,7.4,30000.0,81
Nhà Hàng 123 - Kim Mã,6.7,42500.0,113
King BBQ - Vua Nướng Hàn Quốc - AEON Mall Long Biên,6.8,300000.0,27
Bánh Cuốn Đức Hạnh,8.7,40000.0,16
Bánh Cuốn & Bún Chả Gia An - Trần Đăng Ninh,6.6,32500.0,11
Salavi - Bánh Mì Nướng Muối Ớt - Hàng Giầy,7.6,15000.0,45
Chè Ngon Truyền Thống - Tô Hiệu,6.6,19000.0,12
Chè Ngon Hà Nội - 297 Tô Hiệu,6.9,17500.0,57
Vua Chả Cá - Nguyễn Thị Định,6.4,200000.0,33
Mạnh Đức - Phở & Cơm Văn Phòng,8.0,35000.0,10
Bún Chả Cầu Đen - Hà Đông,6.6,37500.0,22
NemZone - Nem Nướng Ngon Lạ,7.7,177000.0,14
Cutisun Restaurant - Bò Bít Tết,7.2,275000.0,41
Bánh Cuốn & Bún Chả Hoàng Long,6.7,24000.0,16
Cờ-Rếp - Lò Đúc,6.9,47500.0,11
Korea Box 1998 - Ẩm Thực Hàn Quốc,7.5,60000.0,11
Cơm Gà Bà Yến - Khâm Thiên,8.5,37000.0,18
Pizza Hut - Tôn Đức Thắng,7.2,140000.0,173
Quán Chè Cát Thành - Cát Linh,6.8,24000.0,49
Wa Japanese Cuisine,7.8,187500.0,12
Mít Quán - Nguyễn Trãi,5.8,22500.0,34
Chè Sài Gòn Tuyết Nhung - Nhổn,7.3,17500.0,14
